version,task,horizon_years,method,n,n_converters,auc,ci_lo,ci_hi,delta_vs_ridge_all,delta_ci_lo,delta_ci_hi,delta_p
combat,MCI_to_AD,2,ridge_dhat_all,123,16,0.691588785046729,0.560137987012987,0.8148513398523132,,,,
combat,MCI_to_AD,2,direct_logistic,123,16,0.5823598130841121,0.427659973521624,0.7321551441677587,-0.10927313161371506,-0.2810566448801743,0.055357115145011876,0.1836
combat,MCI_to_AD,2,contrastive_euclidean_probe,123,16,0.5625,0.4106163279798973,0.7185337944219521,-0.12820337441149643,-0.2242725251792033,-0.040480965763924494,0.0036
combat,MCI_to_AD,2,contrastive_euclidean_s,123,16,0.4924065420560747,0.32304572593563413,0.6553213987847014,-0.19923238711979951,-0.4692391304347826,0.06433791698497583,0.138
combat,MCI_to_AD,2,contrastive_euclidean_finetune,123,16,0.5876168224299065,0.44727978562780174,0.7240282080305016,-0.10348527644114419,-0.2221512305227902,0.007800751879699199,0.0684
combat,MCI_to_AD,2,contrastive_rank_kendall_basic_probe,123,16,0.544392523364486,0.37499061561561564,0.7146872162243972,-0.1461575273913588,-0.24506172839506163,-0.047144718027071125,0.002
combat,MCI_to_AD,2,contrastive_rank_kendall_basic_s,123,16,0.47663551401869164,0.3150385119632907,0.6438791763791764,-0.21370979387894276,-0.31975308641975303,-0.11258136924803604,0.0
combat,MCI_to_AD,2,contrastive_rank_kendall_basic_finetune,123,16,0.45969626168224303,0.29453119249171883,0.6327850352602824,-0.23117707560914014,-0.3486238532110091,-0.1232480148022512,0.0
combat,MCI_to_AD,2,contrastive_hybrid_basic_probe,123,16,0.5210280373831776,0.35943684633950124,0.6895061728395061,-0.16987998805338345,-0.26667314095449507,-0.08029190063876043,0.0008
combat,MCI_to_AD,2,contrastive_hybrid_basic_s,123,16,0.4906542056074767,0.3335139207993196,0.654958620124549,-0.20050706319170117,-0.3224344610227542,-0.08284465899597483,0.002
combat,MCI_to_AD,2,contrastive_hybrid_basic_finetune,123,16,0.5800233644859812,0.42327533577533577,0.7287150164116956,-0.1108046280177769,-0.234578480579054,0.004603538663171531,0.0652
combat,MCI_to_AD,3,ridge_dhat_finetune,97,28,0.7531055900621118,0.6308280476941734,0.8616813294232649,0.06260985675822363,-0.024863784103220658,0.1519549062049061,0.168
combat,MCI_to_AD,3,ridge_dhat_all,97,28,0.68944099378882,0.5730150103519669,0.7975140208050655,,,,
combat,MCI_to_AD,3,direct_logistic,97,28,0.6620082815734989,0.5244354987419176,0.7878318903318904,-0.026091927304210363,-0.16874023597444976,0.11957266229898715,0.7168
combat,MCI_to_AD,3,contrastive_euclidean_probe,97,28,0.5248447204968945,0.3983967997613117,0.6534115829346092,-0.1639651291978116,-0.26598485284524764,-0.06121340162185222,0.004
combat,MCI_to_AD,3,contrastive_euclidean_s,97,28,0.5289855072463768,0.39552238805970147,0.6579069957502449,-0.16109251608276978,-0.36553183040078197,0.04556015037593969,0.1232
combat,MCI_to_AD,3,contrastive_euclidean_finetune,97,28,0.6174948240165631,0.4826508303552659,0.7485311398354877,-0.07032207763861059,-0.19253754519328825,0.05483870967741944,0.278
combat,MCI_to_AD,3,contrastive_rank_kendall_basic_probe,97,28,0.5476190476190476,0.4132304987212276,0.6815079559905348,-0.140971624829883,-0.23166666666666658,-0.05690979837750716,0.0004
combat,MCI_to_AD,3,contrastive_rank_kendall_basic_s,97,28,0.4399585921325052,0.31391966540404037,0.5695044514270751,-0.24945783677863181,-0.35278108465608465,-0.15010010627772175,0.0
combat,MCI_to_AD,3,contrastive_rank_kendall_basic_finetune,97,28,0.5905797101449275,0.4592550505050505,0.7240941121844187,-0.09710396402134192,-0.2006354957441914,0.0065046948356807304,0.0628
combat,MCI_to_AD,3,contrastive_hybrid_basic_probe,97,28,0.4906832298136646,0.36221484528006265,0.6231701683204113,-0.19803671195237324,-0.3009879268162962,-0.09552069199457282,0.0004
combat,MCI_to_AD,3,contrastive_hybrid_basic_s,97,28,0.4389233954451346,0.3168252840909091,0.5714345238095238,-0.2497908756906555,-0.3724355533120737,-0.12732919254658392,0.0
combat,MCI_to_AD,3,contrastive_hybrid_basic_finetune,97,28,0.59472049689441,0.45528612012987013,0.731092903828198,-0.09285943213477722,-0.22146226035445793,0.037015276145710874,0.1716
combat,MCI_to_AD,4,ridge_dhat_finetune,83,31,0.7270471464019851,0.6047197135559205,0.8427624521072797,0.06578000616224895,-0.024015155707673135,0.15901446764210922,0.1532
combat,MCI_to_AD,4,ridge_dhat_all,83,31,0.6606699751861043,0.5372541788093987,0.775425890695261,,,,
combat,MCI_to_AD,4,direct_logistic,83,31,0.5136476426799008,0.3787495074658216,0.644657863145258,-0.14598336970218972,-0.30552883646114143,0.023312506820910132,0.0944
combat,MCI_to_AD,4,contrastive_euclidean_probe,83,31,0.4832506203473946,0.3524881891681278,0.6144191749026654,-0.17687703650911393,-0.2958303426624003,-0.05882055251250303,0.0032
combat,MCI_to_AD,4,contrastive_euclidean_s,83,31,0.5260545905707196,0.3949685534591195,0.6556993779030947,-0.13519177841299493,-0.33685274403016335,0.0742320574162678,0.2032
combat,MCI_to_AD,4,contrastive_euclidean_finetune,83,31,0.4993796526054591,0.3684848484848485,0.6292207792207792,-0.16043108135181328,-0.31131214551577463,-0.0026406395891692067,0.0468
combat,MCI_to_AD,4,contrastive_rank_kendall_basic_probe,83,31,0.4801488833746898,0.3515076047834669,0.6123956830626521,-0.17975140205127316,-0.28631936107776446,-0.07939321789321786,0.0004
combat,MCI_to_AD,4,contrastive_rank_kendall_basic_s,83,31,0.4280397022332506,0.30726970858005337,0.5601456467795879,-0.23196349331055352,-0.3439249808815026,-0.11927028515588742,0.0
combat,MCI_to_AD,4,contrastive_rank_kendall_basic_finetune,83,31,0.5285359801488834,0.3989330040526849,0.6569740259740259,-0.13110933329379926,-0.24469128076762622,-0.017363970868603702,0.022
